bvid,title,play_count,duration,author,description
BV13W411B7LT,"<em class=""keyword"">黄梅戏</em>《女驸马》选段 为救李郎离家园 韩再芬",4997835,3:42,孤云出岫ヽ,"https://www.youtube.com/watch?v=1yS2Cjw_PMY 
作品类型: 官方现场
作品语种: 汉语
歌手: 韩再芬
曲名: 《女驸马》
简介补充: 欢迎喜欢戏曲的各位同好加入B站戏曲爱好交流群，QQ群号码：187989814"
BV1Zi4y1K7Nz,"【必听】梁祝七大超好听片段｜<em class=""keyword"">黄梅戏</em>yyds｜｜“从此不敢看观音”",802801,14:22,五枝丶,-
BV1KE411v7sv,"<em class=""keyword"">黄梅戏</em>《乌金记》全剧 (孙娟、陈小成主演)",22402,107:9,韩梅傲雪再芬芳,"演员表：孙娟 饰 陈氏、陈小成 饰 吴天寿、黄新德 饰 张柏龄
剧情简介：桐城富豪王员外嫁女时陪赠全付嫁妆，另有乌金四块，玉镯一双。但“洞房花烛夜”新郎李义春却被杀死。桐城县官陈林刚愎自用，他确信是新娘王桂英和教书先生周明月通奸合伙杀死了李义春。周明月逼打成招打入死牢。周明月在监中写下书信，其妻陈氏千里迢迢来南京下书求吴天寿帮助。但因陈氏救夫心切，她竟然在南京总督府鼓架上系颈而亡。吴天寿闯入总督府大堂与总督大人张伯林对簿公堂。桐城县令陈林在李府书童的帮助下，最终在江西省瑞昌县将强盗雷龙抓获斩首。"
BV1v7411T798,"【戏曲】<em class=""keyword"">黄梅戏</em>合集（全剧）",1257704,3343:53,给为师吹个快落滴,"《金玉奴》（《棒打薄情郎》）何云 周珊
《双下山》余顺 王娟
《双玉蝉》李雯
《血狐帕》韩再芬
《柳玉娘》
《血衣仇》
《长生梦》王红
《踏青》 严凤英
《窦娥冤》周源源
《称妈》
《错配婚缘》
《错配婚缘》
《九斤姑娘》
《苦女冤》
《莲花庵》
《七世夫妻》
《三请樊梨花》袁媛 
《神算记》
《寿堂风波》
《双龙配双凤》袁媛
《苏小妹》
《贪官计》
《天之娇女》
《桐花泪》
《王金豆借粮》
《戏牡丹》《打猪草》《春香闹学》
《厢房逼妻》
《孝顺媳妇》
《寻儿记》
《杨乃武与小白菜》
《云楼会》"
BV14p4y1971E,"【<em class=""keyword"">黄梅戏</em>】《春香传》张辉 吴琼[完整版]",11830,209:44,小蕾M南昌,【黄梅戏】《春香传》张辉 吴琼[完整版]
BV1ex411B7Zu,"慕容晓晓-<em class=""keyword"">黄梅戏</em>",2609847,3:41,杨晓星,慕容晓晓音乐欣赏黄梅戏
BV1Es4C1v7EH,"经典<em class=""keyword"">黄梅戏</em>片段《天仙配》《谁料黄榜中状元》《对花》",12477,26:9,凝萃呀,-
BV1TE41157mT,"【<em class=""keyword"">黄梅戏</em>】经典入坑选段合集（自用 持续更新）",139256,899:18,板栗小狗包,"黄梅戏合集，视频素材均来源网络，侵删。
在这里感谢站外贴吧、tx、youku、公众号等平台上传分享黄梅戏视频的戏迷朋友们，让我们能在网络上欣赏到各位名家的精彩表演。"
BV1Js411Y7E2,"韩再芬-<em class=""keyword"">黄梅戏</em>《孟丽君》",190254,380:32,小辞店,E:Youku Filesdownload 很多人的黄梅戏入门作品。表演不要太棒！又美又有英气。
BV1WW41197R7,"<em class=""keyword"">黄梅戏</em>《孟丽君》 韩再芬 汪静 侯长荣（全9集）1995",186729,380:26,残缺灵魂,"黄梅戏音乐电视连续剧《孟丽君》 韩再芬 汪静 侯长荣（全9集）1995

　　孟丽君是清代杭州才女陈端生长篇弹词《再生缘》笔下的女主人的名字。
　　陈端生的原著《再生缘》是行文潇洒、语言风趣、风采卓绝的一部传奇弹词，也是祖国五千年光辉灿烂文化中的光辉典籍，与古典名著《红楼梦》并称“南缘北梦”，遗憾的却是一部未完之作。
　　人们喜爱《再生缘》，更喜爱《再生缘》所塑造的不朽的孟丽君这位惊才绝艳、智慧超群的艺术形象。数百年来，其演绎作品层出不穷，不可胜数，众多衍生作品多称之“孟丽君”。"
BV1PP411X7zW,"<em class=""keyword"">黄梅戏</em>&lt;<em class=""keyword"">黄梅戏</em>&gt;&lt;天仙配&gt;&lt;女驸马&gt;&lt;天女散花&gt;&lt;摘石榴&gt;&lt;对花&gt;",40530,25:34,加加加加塔,
BV1114y1d7Fa,"【<em class=""keyword"">黄梅戏</em>】《相思泪》吴美莲×潘文庆×郑玉兰等[高清完整版]",14447,121:30,小蕾M南昌,-泪洒相思地
BV1CZ4y1s78E,"【<em class=""keyword"">黄梅戏</em>】《卖油郎与花魁女》吴琼 余顺[完整版]",15135,103:36,小蕾M南昌,
BV1Cx411s7VV,马兰 － 《女驸马》－状元府 1998,301427,28:15,一流第九,黄梅戏 马兰 《女驸马》－状元府 1998
